serving images at :8080
/camera  32.555768ms 2025-03-15T07:17:55 map[camera:[rb67]]
/images  20.293195ms 2025-03-15T07:17:55 map[name:[rb67/000011-v2.jpg]]
/images  24.903983ms 2025-03-15T07:17:55 map[name:[rb67/000010-v2.jpg]]
/images  36.737615ms 2025-03-15T07:17:55 map[name:[rb67/000010-2-v2.jpg]]
/images   10.62322ms 2025-03-15T07:17:55 map[name:[rb67/000002-2-v2.jpg]]
/images  18.767939ms 2025-03-15T07:17:55 map[name:[rb67/000008-v2.jpg]]
/images  46.783964ms 2025-03-15T07:17:55 map[name:[rb67/000010-3-v2.jpg]]
/images   9.483939ms 2025-03-15T07:17:55 map[name:[rb67/000005-2-v2.jpg]]
/images    64.3216ms 2025-03-15T07:17:55 map[name:[rb67/000007-2-v2.jpg]]
/images  77.555488ms 2025-03-15T07:17:56 map[name:[rb67/000009-3-v2.jpg]]
/images 108.030002ms 2025-03-15T07:17:56 map[name:[rb67/000008-4-v2.jpg]]
/images 191.121172ms 2025-03-15T07:17:56 map[name:[rb67/000009-4-v2.jpg]]
/images  70.492802ms 2025-03-15T07:17:56 map[name:[rb67/000007-v2.jpg]]
/images  75.247054ms 2025-03-15T07:17:56 map[name:[rb67/000005-4-v2.jpg]]
/images  79.292125ms 2025-03-15T07:17:56 map[name:[rb67/000004-v2.jpg]]
/images  81.891761ms 2025-03-15T07:17:56 map[name:[rb67/000009-2-v2.jpg]]
/images 132.723128ms 2025-03-15T07:17:56 map[name:[rb67/000011-2-v2.jpg]]
/images 274.202051ms 2025-03-15T07:17:56 map[name:[rb67/000005-5-v2.jpg]]
/images 162.265724ms 2025-03-15T07:17:56 map[name:[rb67/000006-v2.jpg]]
/images  180.02115ms 2025-03-15T07:17:56 map[name:[rb67/000001-v2.jpg]]
/images   9.342939ms 2025-03-15T07:17:56 map[name:[rb67/000009-5-v2.jpg]]
/images 323.018872ms 2025-03-15T07:17:56 map[name:[rb67/000001-2-v2.jpg]]
/images  33.429887ms 2025-03-15T07:17:56 map[name:[rb67/000003-v2.jpg]]
/images  42.754889ms 2025-03-15T07:17:56 map[name:[rb67/000001-3-v2.jpg]]
/images 383.301519ms 2025-03-15T07:17:56 map[name:[rb67/000006-2-v2.jpg]]
/images  87.141039ms 2025-03-15T07:17:56 map[name:[rb67/000007-3-v2.jpg]]
